state,vehicle_maker
Alabama,Dodge
Alaska,Chevrolet
Arizona,Pontiac
Arkansas,Chevrolet
California,Nissan
Colorado,Chevrolet
Connecticut,Maserati
Delaware,Mitsubishi
"District of Columbia",Chevrolet
Florida,Toyota
Georgia,Toyota
Hawaii,Ford
Idaho,Dodge
Illinois,GMC
Indiana,Mazda
Iowa,Isuzu
Kansas,Mercedes-Benz
Kentucky,Acura
Louisiana,BMW
Maine,Mercedes-Benz
Maryland,Ford
Massachusetts,Chevrolet
Michigan,Ford
Minnesota,GMC
Mississippi,Toyota
Missouri,Chevrolet
Montana,Dodge
Nebraska,Toyota
Nevada,Pontiac
"New Hampshire",Lincoln
"New Jersey",Mercedes-Benz
"New Mexico",Dodge
"New York",Toyota
"North Carolina",Volvo
"North Dakota",Ford
Ohio,Chevrolet
Oklahoma,Toyota
Oregon,Toyota
Pennsylvania,Toyota
"South Carolina",Jaguar
Tennessee,Mazda
Texas,Chevrolet
Utah,Chevrolet
Vermont,Mazda
Virginia,Ford
Washington,Chevrolet
"West Virginia",Mercedes-Benz
Wisconsin,Mazda
Wyoming,Buick
